Filename,English,Kashaya,Categories
and-how-are-you,and how are you?,ma ṭ’o heʔén ʔiwa,greeting
come-after-me,come after me!,to· qʰamá· wa·du,following; command
come-after-me-pl,come after me! (to several),to· qʰamá· pʰilac’meʔ,following; command
come-and-eat-some-food-pl,come and eat some food! (to several),pʰilac’méʔ  maʔa búmuyic’meʔ,eating; command
come-here,come here!,be·li wá·du,coming and going; command
come-here-and-eat,come here and eat!,be·li wá·du  bumucí·du,eating; command
come-here-pl,come here! (to several),be·li pʰímahmeʔ,coming and going; command
come-in,come in!,ma·qó,going in and out; command
come-in-here,come in here!,be·li má·qo,going in and out; command
come-in-pl,come in! (to several),pʰimáhmeʔ,going in and out; command
come-with-me,come with me!,to· cóhto wa·du,following; command
come-with-me-pl,come with me! (to several),to· cóhto pʰilac’meʔ,following; command
do-you-understand,do you understand?,baʔyahyé· ma,understanding; question
do-you-understand-pl,do you understand? (to several),baʔyahyé· maya,understanding; question
eat,eat!,bumucí·du,eating; command
eat-pl,eat! (to several),bumuyíc’meʔ,eating; command
eat-some-food-pl,eat some food! (to several),maʔa búmuyic’meʔ,eating; command
everyone-say-it-again,everyone say it again!,ṭ’ihca pʰala míyic’meʔ,teaching; command; speaking
go-in,go in!,mací,going in and out; command
go-in-pl,go in! (to several),pʰimácʰmeʔ,going in and out; command
go-in-there,go in there!,mi· mací,going in and out; command
go-in-there-pl,go in there! (to several),mi· pʰimác’meʔ,going in and out; command
good,"good, and you?","q’oʔdi, ma ṭ’o",greeting; question
how-are-you,how are you?,heʔén ma ʔiwa,greeting; question
how-are-you-pl,how are you? (to several),heʔén maya ʔiwa,greeting; question
how-would-you-say-it-in-indian,how would you say it in Indian?,heʔén ṭa ma mice·duʔba ʔacaʔ ta·wi,teaching; speaking; question
i-dont-understand,I don't understand,baʔyahtʰé· ʔa,understanding
i-dont-understand-you,I don't understand you,baʔyahtʰé· ʔa mito,understanding
i-feel-good,I feel good,q’oʔdi t’á·de· to,feeling
i-want-water,I want water,ʔahqʰa dá·w,"hunger, thirst"
im-good-how-are-you,"I'm good, how are you?","ʔa· ṭ’o ṭa q’oʔdi ʔém, ma ṭ’o heʔén ʔwa",greeting; question
im-hungry,I'm hungry,maʔá ʔdawa·nʔ,"hunger, thirst"
im-thirsty,I'm thirsty,ʔahqʰa dawá·nʔ,"hunger, thirst"
im-tired-obj,I'm tired (obj),tʼunuyém ṭa to,feeling
im-tired-subj,I'm tired (subj),tʼunu ʔém ʔa,feeling
im-very-hungry,I'm very hungry,ʔaná· to maʔa ʔdawa·nʔ,"hunger, thirst"
is-it-like-that,is it like that?,men íqam,understanding; question
lets-go-in-the-house,let's go in the house!,ʔahcá· ya pʰimahteʔ,going in and out; command
me-too,me too,ʔa· pʰalá,pronoun
my-name-is-inez,my name is Inez,to· šíhcimaʔ ʔem ṭa Inez,introduction
say-it-after-me,say it after me!,to· qʰamá· mice·du,teaching; command; speaking
say-it-again,say it again!,pʰala míce·du,teaching; command; speaking
say-it-again-pl,say it again! (to several),pʰala míyic’meʔ,teaching; command; speaking
say-it-in-indian,say it in Indian!,ʔacaʔ cáhno·du,teaching; command; speaking
say-it-in-indian-pl,say it in Indian! (to several),ʔacaʔ lowác’meʔ,teaching; command; speaking
shut-up,shut up!,šuhkémma,speaking; command; speaking
start-here,start here!,be·li túbiyi·c’i,teaching; command; speaking
thats-not-right,that's not right,kataṭí tʰin e· mu,teaching
thats-not-true,that's not true,ʔihmi tʰín e· mu,teaching
thats-right,that's right,kataṭí ʔe· mu,teaching
thats-true,that's true,ʔihmi ʔé· mu,teaching
the-indian-way-is-difficult,the Indian way is difficult,ʔahsiy é· mu ʔacaʔ ta·wi,teaching
the-indian-way-is-very-difficult,the Indian way is very difficult,ʔaná· ʔahsiy e· mu ʔacaʔ ta·wi,teaching
tide-comes-in,the tide comes in,ʔahqʰa cʰúliw,water
we-dont-understand,we don't understand you,baʔyahtʰé· ya mito,understanding
whats-your-name,what's your name?,baq’ó ʔwa mito šihcimaʔ,introduction; question
whats-your-pl-name,what's your name? (to several),baq’ó ʔwa mayal šihcimaʔ,introduction; question
wind-is-blowing,the wind is blowing,ʔihyá hyaw,weather
