Filename,English,Kashaya,Categories
abalone,abalone,duʔk’aš,"animal; fish, sea creature"
abalone-ornament,abalone ornament,ṭʰilel,traditional culture
acorn,acorn,biʔdu,plant; plant part
acorn-mush,acorn mush,ṭʰoʔo,food; traditional culture
agitated,agitated,woṭoʔ,adjective
alder-tree,alder tree,qahcʰiṭi,plant; tree
alike,alike,kúʔmeʔ,adverb
always,always,kumíʔdaʔ,adverb; time
animal,animal,šiʔbaši,animal
ant,ant,biʔk’as,"animal; insect, spider"
arm,"arm, wing",ʔiša·,body part; bird
arrow,arrow,hisʼu·,traditional culture
ask,to ask,bahnatá·du,verb; speaking
axe,axe,tupú·lu,tool
baby-basket,baby basket,cuhse,traditional culture; basket
ball,ball,pʰiʔk’o,household; game
banana,"banana (""monkey food"")",maka·ka máʔa,food
barnacle,barnacle,qʰac’o·,"animal; fish, sea creature"
bay,bay,šóhqʰa,water
beach-at-ocean,beach at ocean,qʰaṭʰá·wi,land
beans,beans,yihó·l,food
bear,bear,buṭaqa,animal; mammal
beautiful,"beautiful, pretty, wonderful",cʼíškan,adjective; appearance
bee,"bee, yellowjacket",coʔo,"animal; insect, spider"
beef,beef,wá·ka bihše,food
behind,behind,ʔaná·tow,location
belly,"belly, abdomen",ʔuhqʰa,body part
bird,bird,s’ihta,animal; bird
bite,bite,qanew,verb
black,black,k’ili,adjective; color
blackbird,blackbird,c’ámʔc’aṭa,animal; bird
blanket-thin,thin blanket,ʔatiyá·la,household
bobcat,"bobcat, wildcat",dolomʔ,animal; mammal
body,body,šiʔba,people
bone,"bone, strong",ʔihya·,body part; adjective
bottle,bottle,woté·ya,household
brain,brain,hoʔt’o k’ólomʔ,body part
bread,bread,cuhni·,food
buckeye-nut,buckeye nut,bahša,plant; food
bullhead,bullhead,qʰabóṭoʔṭo,"animal; fish, sea creature"
bumblebee,bumblebee,cehey,"animal; insect, spider"
bumpy,"bumpy, uneven",cohso,adjective
burden-basket,burden basket,buhqʰal,basket; traditional culture
but,but,muhnati,conjunction
butt,butt,haṭ’a·,body part
butterfly,butterfly,sʼaʔdaʔ,"animal; insect, spider"
cap,cap,kacu·ca,clothing
car,"car, machine",má·kina,vehicle
cat,cat,kúška,animal; mammal
center-post,center post,hápʰṭʰe,traditional culture; building
chair,chair,cumátʰmaw,furniture
cheek,cheek,qapʼa,body part
chest,chest,kunu,body part
chicken,chicken,kayi·na,animal; bird
child,child,naṭa,people
children,children,naṭá yya,people
clapper,clapper,pʰiʔṭ’áʔṭ’aw,traditional culture; music
cloth,"cloth, hide",k’aṭa,clothing; household
cloud,cloud,qʰaba·,sky
coat,coat,kapú·ta,clothing
cooking-basket,cooking basket,šeʔeʔ,basket; traditional culture
coopers-hawk,"chicken hawk, Cooper's hawk",ṭʰolol,animal; bird
cork,"cork, stopper",tapo·n,household
corn,"corn, maize",má·yiš,food
cottontail,"brush rabbit, cottontail",numi,animal; mammal
cow,cow,wá·ka,animal; mammal
coyote,coyote,duwi,animal; mammal
cracker,cracker,kayé·ta,food
crow,crow,qʰaʔay,animal; bird
crown,"top of head, crown",šina·,body part
