Filename,English,Kashaya,Category,Subcategory
abalone-ornament,abalone ornament,ṭʰilel,things,traditional
abalone,abalone,duʔk’aš,animals,"fish, sea creatures"
acorn-mush,acorn mush,ṭʰoʔo,things,food
acorn,acorn,biʔdu,plants,plant parts
alder-tree,alder tree,qahcʰiṭi,plants,trees
animal,animal,šiʔbaši,animals,mammals
ant,ant,biʔk’as,animals,"insects, spiders"
arm,"arm, wing",ʔiša·,people,body parts
arrow,arrow,hisʼu·,things,traditional
axe,axe,tupú·lu,people,tools
baby-basket,baby basket,cuhse,things,traditional
ball,ball,pʰiʔk’o,things,household
banana,"banana (""monkey food"")",maka·ka máʔa,things,food
barnacle,barnacle,qʰac’o·,animals,"fish, sea creatures"
bay,bay,šóhqʰa,world,water
beach-at-ocean,beach at ocean,qʰaṭʰá·wi,world,land
bear,bear,buṭaqa,animals,mammals
beautiful,"beautiful, wonderful",cʼíškan,descriptions,taste
bee,"bee, yellowjacket",coʔo,animals,"insects, spiders"
beef,beef,wá·ka bihše,things,food
behind,behind,ʔaná·tow,descriptions,
belly,belly,ʔuhqʰa,people,body parts
bird,bird,s’ihta,animals,birds
bite,bite,qanew,descriptions,verbs
black,black,k’ili,descriptions,colors
blackbird,blackbird,c’ámʔc’aṭa,animals,birds
blanket-thin,thin blanket,ʔatiyá·la,things,household
bobcat,"bobcat, wildcat",dolomʔ,animals,mammals
bone,bone,ʔihya·,people,body parts
bottle,bottle,woté·ya,things,household
brain,brain,hoʔt’o k’ólomʔ,people,body parts
bread,bread,cuhni·,things,food
bullhead,bullhead,qʰabóṭoʔṭo,animals,"fish, sea creatures"
burden-basket,burden basket,buhqʰal,things,baskets
butt,butt,haṭ’a·,people,body parts
butterfly,butterfly,sʼaʔdaʔ,animals,"insects, spiders"
cap,cap,kacu·ca,things,clothing
car,"car, machine",má·kina,things,household
cat,cat,kúška,animals,mammals
center-post,center post,hápʰṭʰe,things,traditional
chair,chair,cumátʰmaw,things,household
chest,chest,kunu,people,body parts
chicken-hawk,chicken hawk,ṭʰolol,animals,birds
chicken,chicken,kayi·na,animals,birds
child,child,naṭa,people,kinds of people
small-child,"small child, young child",naṭa qáwi,people,kinds of people
children,children,naṭá yya,people,kinds of people
clapper,clapper,pʰiʔṭ’áʔṭ’aw,things,traditional
nail,"nail, claw",hecʼ,people,body parts
cloth,"cloth, hide",k’aṭa,things,clothing
cloud,cloud,qʰaba·,world,sky
coat,coat,kapú·ta,things,clothing
cooking-basket,cooking basket,šeʔeʔ,things,baskets
cork,"cork, stopper",tapo·n,things,household
corn,"corn, maize",má·yiš,things,food
cow,cow,wá·ka,animals,mammals
coyote,coyote,duwi,animals,mammals
cracker,cracker,kayé·ta,things,food
crow,crow,qʰaʔay,animals,birds
crown,"top of head, crown",šina·,people,body parts
cute,cute,mušuʔkán,descriptions,appearance
deer-mouse,deer mouse,hopʰúne,animals,mammals
deer,deer,bihše,animals,mammals
design,"design, mark",cuhti,things,household
dirt,"dirt, dust",ʔino,world,land
dog,dog,hayu,animals,mammals
door,"door, entrance",hóhwa,things,structures
dove,dove,ma·yu,animals,birds
duck,duck,q’ayal,animals,birds
eagle,eagle,kilakʰ,animals,birds
ear,ear,šima,people,body parts
elbow,elbow,qʼohsa,people,body parts
elderberry-tree,elderberry tree,ṭʰeqʰále,plants,trees
elk-clover,elk clover,q’asi·sí hso,plants,plant parts
eye,eye,huʔuy,people,body parts
eyeglasses,eyeglasses,huʔú· dutʼetiʔ,things,clothing
fancy-basket,fancy basket,cʰiṭu·,things,baskets
